----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
1259;0.0059
1260;0.0327
1261;0.2351
1262;0.1696
1263;0.0565
1264;0.0595
1265;-0.0058
1266;-0.0088
1267;0.1279
1268;0.0565
1269;0.1249
1270;0.1309
1271;0.0237
1272;0.0982
1273;0.0684
1274;0.0684
1275;0.0952
1276;0.0595
1277;-0.0386
1278;0.0356
1279;-0.0177
1280;0.0178
1281;-0.107
1282;-0.0505
1283;-0.0683
1284;0.0446
1285;0.1101
1286;0.0356
1287;-0.0148
1288;-0.0207
1289;-0.0118
1290;0.0982
1291;-0.0118
1292;0.0118
1293;-0.0326
1294;0.0356
1295;0.0833
1296;-0.0177
1297;0.113
1298;0.0327
1299;0.0237
1300;-0.0713
1301;-0.0177
1302;-0.0058
1303;0.0178
1304;0.1071
1305;0.0624
1306;0.0476
1307;0.1309
1308;0.0833
1309;0.0476
1310;0.1249
1311;0.0237
1312;0.1011
1313;0.0327
1314;0.0356
1315;-0.0475
1316;0.0089
1317;0.0029
1318;-0.0237
1319;0.0267
1320;-0.0029
1321;0.0416
1322;0.0089
1323;-0.0535
1324;0.0148
1325;0.1071
1326;0.0118
1327;0.0356
1328;-0.0326
1329;-0.0386
1330;0.0356
1331;0.0089
1332;0.113
1333;-0.0624
1334;-0.0058
1335;-0.1309
1336;0.0178
1337;0.0208
1338;-0.0535
1339;-0.0922
1340;-0.0654
1341;0.0654
1342;0.1071
1343;-0.1309
1344;0.0446
1345;-0.0713
1346;0.1577
1347;0.0565
1348;0.0952
1349;0.2053
1350;0.0922
1351;0.0476
1352;-0.0088
1353;0.0684
1354;0.0803
1355;0.0059
1356;0.1636
1357;-0.1457
1358;-0.0624
1359;0.0535
1360;0.2142
1361;0.1815
1362;-0.0713
1363;-0.0803
1364;-0.0475
1365;0.1249
1366;0.0743
1367;0.0476
1368;-0.0624
1369;-0.11
1370;0.0892
1371;0.1875
1372;0.0952
1373;0.0416
1374;0.0684
1375;-0.0267
1376;0.1071
1377;0.0952
1378;0.0001
1379;0.0684
1380;0.0773
1381;0.1071
1382;-0.0445
1383;0.0446
1384;-0.0594
1385;0.1994
1386;0.1547
1387;-0.2023
1388;-0.0267
1389;0.0059
1390;-0.0207
1391;0.1309
1392;-0.0177
1393;0.0535
1394;0.0118
1395;-0.0088
1396;0.0356
1397;0.0029
1398;0.0001
1399;-0.0594
1400;0.1101
1401;-0.0148
1402;0.1607
1403;-0.0803
1404;0.0386
1405;-0.1041
1406;0.0982
1407;0.1815
1408;-0.0267
1409;0.1041
1410;-0.0832
1411;0.0446
1412;0.0386
1413;-0.0029
1414;0.0892
1415;-0.0416
1416;0.1458
1417;-0.0118
1418;0.1309
1419;0.1577
1420;-0.0177
1421;0.0684
1422;0.0327
1423;0.0952
1424;0.0684
1425;0.0714
1426;-0.0386
1427;-0.0118
1428;-0.0148
1429;0.0743
1430;0.0356
1431;-0.0118
1432;-0.0654
1433;0.0089
1434;0.0327
1435;0.0386
1436;0.0922
1437;0.0535
1438;0.0505
1439;-0.0356
1440;0.0237
1441;-0.0386
1442;0.0595
1443;0.1666
1444;0.1011
1445;0.0505
1446;0.0535
1447;0.0178
1448;0.0833
1449;0.0833
1450;0.0356
1451;0.0416
1452;-0.1219
1453;-0.0326
1454;-0.0475
1455;-0.0505
1456;0.1458
1457;0.0803
1458;-0.0654
1459;0.0624
1460;0.0356
1461;0.0505
1462;0.0565
1463;0.0714
1464;0.0535
1465;-0.0356
1466;0.0386
1467;0.0029
1468;0.0148
1469;0.0624
1470;0.0565
1471;-0.0237
1472;0.0356
1473;-0.0654
1474;-0.0029
1475;0.0595
1476;0.0356
1477;0.0535
1478;0.119
1479;0.119
1480;0.0714
1481;0.0476
1482;0.0237
1483;0.0714
1484;0.0356
1485;0.0089
1486;0.0922
1487;0.1666
1488;0.0416
1489;0.0535
1490;-0.0207
1491;-0.0029
1492;0.0535
1493;0.0327
1494;-0.0029
1495;0.0237
1496;0.0416
1497;0.0356
1498;-0.0624
1499;-0.0564
1500;-0.0862
1501;0.0952
1502;-0.0326
1503;0.0714
1504;-0.0654
1505;-0.0624
1506;0.119
1507;0.2381
1508;0.1875
1509;-0.0356
1510;0.0952
1511;0.1756
1512;0.3452
1513;0.1101
1514;0.0148
1515;-0.1755
1516;0.3244
1517;0.2946
1518;-0.0237
1519;-0.0296
1520;0.0356
1521;-0.0118
1522;0.2946
1523;0.0356
1524;0.0059
1525;0.0148
1526;0.0505
1527;0.0565
1528;0.0654
1529;0.1756
1530;0.1636
1531;0.0356
1532;0.1785
1533;-0.0535
1534;0.0089
1535;0.1488
1536;-0.0683
1537;-0.0416
1538;-0.1011
1539;0.0476
1540;0.116
1541;0.0059
1542;0.119
1543;0.0118
1544;0.0982
1545;0.0297
1546;-0.0058
1547;0.1279
1548;0.0327
1549;0.0773
1550;0.1041
1551;0.0356
1552;0.0684
1553;0.0001
1554;-0.0594
1555;0.0624
1556;0.0327
1557;0.0803
1558;0.0386
1559;-0.0416
1560;-0.0683
1561;0.0297
1562;0.1517
1563;0.0208
1564;0.0922
1565;-0.0475
1566;0.0595
1567;0.1101
1568;0.0089
1569;0.0356
1570;0.0952
1571;0.0743
1572;0.0208
1573;0.0714
1574;-0.0088
1575;0.119
1576;0.0297
1577;-0.0058
1578;-0.0683
1579;-0.0177
1580;0.0624
1581;0.0684
1582;0.0952
1583;0.0059
1584;-0.0148
1585;0.113
1586;0.0684
1587;0.1071
1588;0.0178
1589;0.0476
1590;0.0743
1591;0.0356
1592;-0.0386
1593;-0.0416
1594;0.0863
1595;-0.0237
1596;0.0297
1597;-0.0237
1598;0.0863
1599;0.0089
1600;0.0684
